Movie,Genre,IMDb Rating
Children of Heaven,Drama,8.2
My Neighbour Totoro,Drama,8.1
Gran Torino,Drama,8.1
Ratatouille,Animation,8.1
12 Years a Slave,Drama,8.1
The Chaos Class Failed the Class,Drama,8.4
The Grand Budapest Hotel,Comedy,8.1
Before Sunrise,Romance,8.1
Memories of Murder,Drama,8.1
Blade Runner,Drama,8.1
How to Train Your Dragon,Animation,8.1
Spider-Man: No Way Home,Drama,8.1
Gone Girl,Mystery,8.1
"Monsters, Inc.",Drama,8.1
Jaws,Thriller,8.1
In the Name of the Father,Drama,8.1
Le Mans '66,Drama,8.1
Wild Tales,Drama,8.1
The Gold Rush,Drama,8.1
Mary and Max,Drama,8.1
Sherlock Jr.,Drama,8.1
The Deer Hunter,War,8.1
The Wages of Fear,Drama,8.1
The General,Drama,8.1
Logan,Action,8.1
Rocky,Sport,8.1
Mr. Smith Goes to Washington,Drama,8.1
Tokyo Story,Drama,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,Drama,8.1
On the Waterfront,Drama,8.1
A Silent Voice: The Movie,Drama,8.2
Spotlight,Drama,8.1
La haine,Drama,8.1
Wild Strawberries,Drama,8.1
The Terminator,Drama,8.1
Maharaja,Drama,8.3
The Sound of Music,Musical,8.1
Jai Bhim,Drama,8.6
The Third Man,Mystery,8.1
The Big Lebowski,Comedy,8.1
The Best Years of Our Lives,Drama,8.1
Chainsaw Man - The Movie: Reze Arc,Drama,8.3
Before Sunset,Romance,8.1
The Seventh Seal,Drama,8.1
Room,Drama,8.1
Hotel Rwanda,Drama,8.1
The Incredibles,Animation,8.0
Platoon,War,8.1
Hachi: A Dog's Tale,Drama,8.1
The Exorcist,Drama,8.1
Rush,Sport,8.1
The Iron Giant,Animation,8.1
The Wizard of Oz,Drama,8.1
Stand by Me,Drama,8.1
The Passion of Joan of Arc,Drama,8.1
My Father and My Son,Drama,8.2
The Battle of Algiers,Drama,8.1
The Handmaiden,Thriller,8.1
Network,Drama,8.1
Drishyam,Crime,8.2
Gangs of Wasseypur,Drama,8.2
Laapataa Ladies,Drama,8.3
